input,target
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'rnbqkbr1/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQq - 3 3',0
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQq - 3 3',-40
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'r1bqkb1r/pppppppp/2n2n2/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 3 3',-90
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'r1bqkb1r/pppppppp/2n2n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 1 3',-100
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
b'rnbqkbr1/pppppppp/5n2/8/8/7P/PPPPPPP1/RNBQKBNR w KQq - 1 3',-50
